"Countries","ResidualCorrelation"
"CAMEROON (NLS-1) and DJIBOUTI (NLS-1)",-0.090551723929596
"CAR (NLS-2) and DJIBOUTI (NLS-1)",0.086137820348175
"CHAD (NLS-1) and DJIBOUTI (NLS-1)",0.074967208455385
"COMOROS (NLS-1) and DJIBOUTI (NLS-1)",0.0704871800477551
"CONGODR (NLS-2) and DJIBOUTI (NLS-1)",0.101810343946861
"CONGOREPUB (NLS-1) and DJIBOUTI (NLS-1)",-0.00675640952988135
"ALGERIA (NLS-1) and EGYPT (NLS-1)",0.13173064299242
"ANGOLA (OLS) and EGYPT (NLS-1)",0.23639176705566
"BENIN (NLS-1) and EGYPT (NLS-1)",0.0772173804841778
"BOTSWANA (NLS-1) and EGYPT (NLS-1)",0.121558429766249
"BURKINAFASO (NLS-1) and EGYPT (NLS-1)",0.103759821377003
"BURUNDI (NLS-1) and EGYPT (NLS-1)",-0.0229731482036878
"CABOVERDE (OLS) and EGYPT (NLS-1)",0.10825828798258
"CAMEROON (NLS-1) and EGYPT (NLS-1)",0.0701515838755761
"CAR (NLS-2) and EGYPT (NLS-1)",0.143680857050115
"CHAD (NLS-1) and EGYPT (NLS-1)",0.176485105063109
"COMOROS (NLS-1) and EGYPT (NLS-1)",0.0844404080014685
"CONGODR (NLS-2) and EGYPT (NLS-1)",-0.000242261906780791
"CONGOREPUB (NLS-1) and EGYPT (NLS-1)",0.0316135917855618
"DJIBOUTI (NLS-1) and EGYPT (NLS-1)",0.0668175497272727
"ALGERIA (NLS-1) and EQGUINEA (NLS-2)",-0.119111258934036
"ANGOLA (OLS) and EQGUINEA (NLS-2)",-0.146148344574294
"BENIN (NLS-1) and EQGUINEA (NLS-2)",0.125555981101833
"BOTSWANA (NLS-1) and EQGUINEA (NLS-2)",0.0860265167850829
"BURKINAFASO (NLS-1) and EQGUINEA (NLS-2)",-0.0322944439269848
"BURUNDI (NLS-1) and EQGUINEA (NLS-2)",-0.221147232185592
"CABOVERDE (OLS) and EQGUINEA (NLS-2)",0.0203384623228829
"CAMEROON (NLS-1) and EQGUINEA (NLS-2)",0.16590491877712
